1248326874062872576,2020-04-09 19:08:14,"38.61700854, -76.92659334",en,b'',b'Yeezy Desert Boot Oil\nSize 8.5 $280 Brand New\n\xf0\x9f\x91\x87\xf0\x9f\x8f\xbd\xf0\x9f\x91\x87\xf0\x9f\x8f\xbdNOW ONLINE\xf0\x9f\x91\x87\xf0\x9f\x8f\xbd\xf0\x9f\x91\x87\xf0\x9f\x8f\xbd\nhttps://t.co/LyfCZs7Q7h \xf0\x9f\x91\x88\xf0\x9f\x8f\xbd\n\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\xe2\x80\xa2\n\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8fDue to COVID-19 CORE x DeadStockDMV National Harbor will be temporarily closed until further notice. WE WILL\xe2\x80\xa6 https://t.co/gt5fGNVBN7'
1248326865305116672,2020-04-09 19:08:12,"41.0562933, -74.9524589",und,b'covid_19',b'Jason \xce\x91\xce\xbd\xcf\x84\xce\xb9\xce\xb3\xcf\x8c\xce\xbd\xce\xb7 \xce\xbb\xce\xb5\xce\xaf\xcf\x80\xce\xb5\xce\xb9\xcf\x82 #covid_19 @ Camp Crystal Lake https://t.co/boucnyPOoK'
1248326818828091392,2020-04-09 19:08:01,"43.64924, -79.92666",en,b'covid covi\xcc\x87d19 socialdistancing pharmacy pharmacist GeorgetownON Georgetown ActonON ErinON compoundingpharmacy HaltonHills smallbusiness smallbiz',b'Some tips to reduce your risk of catching COVID-19.\n\n#covid #covi\xcc\x87d19 #socialdistancing #pharmacy #pharmacist #GeorgetownON #Georgetown #ActonON #ErinON #compoundingpharmacy #HaltonHills #smallbusiness #smallbiz\xe2\x80\xa6 https://t.co/5xjkNTjWgg'
1246950609036742658,2020-04-05 23:59:27,"39.6, -107.9",en,b'',"b'My first long stretch on the road with my bike. Headwinds and hills to start, but I\xe2\x80\x99m glad I got out there. Hoping this season of COVID I\xe2\x80\x99m less couch potato and more outdoor explorer.\xe2\x80\xa6 https://t.co/h6hlYgqlEV'"
1246950165304377344,2020-04-05 23:57:41,"51.50068358, -0.12458324",es,b'',"b'Buenos tiempos sin covid-19 en Big Ben Tower, London https://t.co/oI2G2RsvlK'"
1246950149869522946,2020-04-05 23:57:37,"40.6966, -80.0122",en,b'russianblue catlife pittsburgh covid remax realestate',"b'Love this handsome boy! \xf0\x9f\x92\x9a#russianblue #catlife #pittsburgh #covid #remax #realestate @ Mars, Pennsylvania https://t.co/M35N9JqiZO'"
1246876905736994816,2020-04-05 19:06:34,"5.55, -0.2",en,b'kwamedealz covid staysafe stayathome delivery',"b'We do delivery.....\nStay home and stay safe \nPlace an order via 0248359053\n\n#kwamedealz #covid #staysafe #stayathome #delivery @ Accra, Ghana https://t.co/Vq4zBbw2Hl'"
1248339000710041602,2020-04-09 19:56:25,"-10.18496807, -48.34023088",pt,b'',b'https://t.co/HoTpl1XRqu em Palmas (Tocantins) - \xc3\x94 terra\xe2\x80\xa6 https://t.co/S47tjzlLro'
1248338967050813441,2020-04-09 19:56:17,"41.904, 12.453",es,b'juevessanto covid',b'Jueves Santo en El VATICANO. Bas\xc3\xadlica de San Pedro. #juevessanto #covid en Vatican City https://t.co/Wuk5zIDShG'
1248338951347331072,2020-04-09 19:56:13,"45.49736542, -73.63042059",ht,b'',b'Covid life goal !!  Love it!! Nice team!!!The best one!!! \xc3\xa0 Jewish General Hospital https://t.co/jxsw3q5SfE'
1248338621230247936,2020-04-09 19:54:54,"33.66855942, -117.76464522",en,b'',"b""So needed something healthy?!  Thank you everyday.eatery !  You are the best &amp; you're making Covid bearable! @ Everyday Eatery https://t.co/4lK1QQBMG1"""
1248338605178847233,2020-04-09 19:54:51,"-11.0, -53.0",pt,b'covid',b'Compara\xc3\xa7\xc3\xa3o do #covid com outras epidemias desde do primeiro dia com registro de morte! em Brazil https://t.co/OpV0u38615'
